"","X.4","X","Year","Region","FedOk","Gini","R.P.10","Dec_coef","Infl_all","Coef_infl","Unfood_infl","Food_infl","Service_infl","Unempl","GRP","Avinc_mrot","Sh_city","Pre_sch","Av_sub_nom","Av_sub_real","GRP2","Av5_infl","Av4_infl","Av3_infl","Av2_infl","YAv_sub_nom","YAv_sub_real","TAv_sub_nom","TAv_sub_real","G_s","avGRP08","Sd_infl","Infl2","G1","G2","G3","G4","G5"
"1",1,14,2008,"Российская Федерация",0,0.421,16.6,NA,13.2816581,1.132816581,7.964567785,16.47470245,15.94181465,6.2,2.375522,NA,0.735,0.5931688359,305.35,269.5493738,5.643104772484,10.57043298,10.87433315,10.5868646,10.42317179,3664.2,3234.5924856,0.30535,0.2695493738,0.2440110727,3.6052555,0.491044097363522,176.402441885296,5.1,9.8,14.8,22.5,47.8
"2",2,15,2009,"Российская Федерация",0,0.421,16.6,NA,8.797004094,1.087970041,9.653996487,6.079138513,11.60489907,8.3,2.241633,NA,0.735,0.5866300537,398.2,323.090897,5.024918506689,11.35167033,11.25449276,11.36789495,12.57324304,4778.4,3877.090764,0.3982,0.323090897,0.2486915459,3.6052555,0.698798075269246,77.3872810298528,5.2,9.8,14.8,22.5,47.7
"3",3,16,2010,"Российская Федерация",0,0.421,16.6,NA,8.776658722,1.087766587,4.968412097,12.87661123,8.051506407,7.3,2.638286,NA,0.736,0.592,487.2,363.4084585,6.960553017796,10.75859391,10.71953221,11.30015364,11.01668803,5846.4,4360.901502,0.4872,0.3634084585,0.2439091605,3.6052555,0.361972796706542,77.0297383224587,5.2,9.8,14.8,22.5,47.7
"4",4,17,2011,"Российская Федерация",0,0.417,16.2,NA,6.100637542,1.061006375,6.641947679,3.878353359,8.71517988,6.5,3.175153,4.799076212,0.738,0.606,559.62,393.4259349,10.081596573409,10.328201,10.66384395,10.26493253,8.786830932,6715.44,4721.1112188,0.55962,0.3934259349,0.237,3.6052555,0.630969272011105,37.2177784188598,5.2,9.9,14.9,22.6,47.4
"5",5,18,2012,"Российская Федерация",0,0.42,16.4,NA,6.575650038,1.0657565,5.156941936,7.46884913,7.293471357,5.5,3.486415,5.036022555,0.739,0.621,563.4,371.6452708,12.155089552225,9.735766096,9.208781234,7.883960542,7.430316206,6760.8,4459.7432496,0.5634,0.3716452708,0.231,3.6052555,0.277402385233678,43.2391734222494,5.2,9.8,14.9,22.5,47.6
"6",6,19,2013,"Российская Федерация",0,0.419,16.3,NA,6.450195606,1.064501956,4.478413779,7.321923454,8.024570469,5.5,3.77006,4.981402498,0.74,0.63,621.35,385.0362394,14.2133524036,8.677001265,7.555384877,7.144668645,6.337878555,7456.2,4620.4348728,0.62135,0.3850362394,0.2279881537,3.6052555,0.223760474615155,41.6050233556617,5.2,9.8,14.9,22.5,47.6
"7",7,20,2014,"Российская Федерация",0,0.41,16,NA,11.3623451,1.113623451,8.047737646,15.42864187,10.45355775,5.2,4.051477,4.999459849,0.742,0.646,659.8,367.1463776,16.414465881529,7.333432868,6.970626784,6.375304398,6.512904351,7917.6,4405.7565312,0.6598,0.3671463776,0.3261749074,3.6052555,0.60334107646128,129.102886171494,5.2,9.9,14.9,22.6,47.4
"8",8,21,2015,"Российская Федерация",0,0.413,15.7,NA,12.90816482,1.129081648,13.63793058,13.99277803,10.20012548,5.6,4.490979,5.107627829,0.74,0.6623,689.9,340.0069017,20.168892378441,7.834891572,7.600726559,8.105454576,8.8785719,8278.8,4080.0828204,0.6899,0.3400069017,0.3005002133,3.6052555,1.03791603560678,166.620719020286,5.3,10,15,22.6,47.1
"9",9,22,2016,"Российская Федерация",0,0.412,15.5,NA,5.375142191,1.053751422,6.536602167,4.570475562,4.913340245,5.5,4.720499,4.955996132,0.741,0.6649812951,722.9,338.0972505,22.283110809001,8.641870123,9.286632138,10.2055315,12.13259123,8674.8,4057.167006,0.7229,0.3380972505,0.2978205186,3.6052555,0.230340656814677,28.8921535734683,5.3,10.1,15,22.6,47
"10",10,23,2017,"Российская Федерация",0,0.41,15.2,7,2.523063247,1.025230632,2.753485604,1.066688327,4.374192599,5.2,5.102531,4.1896,0.743,0.6645742784,758.2,345.8801355,26.035822605961,8.492887718,8.977562162,9.833282537,9.076642424,9098.4,4150.561626,0.7582,0.3458801355,0.295552854,3.6052555,0.336216921319883,6.36584814836218,5.4,10.1,15.1,22.6,46.8
